ticker,alpha,ADV,optimal_AUM,trades_count
HEAD,5.6584478973533306e-05,102254608986.17647,289301188.60625863,1241
GAZP,2.4522233771874708e-05,200244912393.20624,245522627.66673872,4346
SNGSP,3.913610522055942e-05,67627906884.14062,132334643.9831961,4369
NVTK,2.5681447592548075e-05,97205786407.4,124819265.46570325,4314
YDEX,1.7054742074949825e-05,129842239396.51562,110721295.16707315,4380
AFKS,2.8302889152941587e-05,47065305305.84063,66604205.951028034,4351
LKOH,5.71485739642742e-06,184061314167.95312,52594208.1334439,4424
AMNY,3.088438538478524e-05,32120340377.923637,49600848.546113595,982
VTBR,1.126687444566593e-05,83920526386.18063,47276101.7103646,4390
IRKT,3.655949118459257e-05,25077524375.46875,45841076.56681775,4149
RNFT,3.639138495784582e-05,23400909351.415627,42579575.028551005,4306
SNGS,1.6439024036473153e-05,48908802680.921875,40200649.143339865,4357
FLOT,3.960253554996451e-05,20168119761.221863,39935433.990986526,4361
SOFL,5.3727548308989e-05,14595867605.756218,39210009.09499374,4301
UNAC,4.619286077400832e-05,15664878431.390625,36180277.42114965,4245
DATA,0.00012382519901913135,5341572858.889231,33071066.11635747,895
PLZL,8.034874447998225e-06,73283009121.60938,29440988.873182,4376
SVAV,5.350046061455818e-05,10781373272.984375,28840421.80810754,4266
PIKK,3.576488667368937e-05,14387926360.596876,25729127.78780676,4308
VKCO,1.8475473927131062e-05,27001833057.918747,24943583.13231617,4335
SELG,4.329681113518882e-05,11133975189.690624,24103281.048595656,4324
UWGN,1.1758477005298713e-05,40901230945.47187,24046809.178037155,4285
BSPB,1.754010442766261e-05,26675799262.065624,23394815.237399813,4376
AFLT,8.992189021731762e-06,51038364398.721924,22947331.001666624,4408
POSI,1.8978384495178806e-05,22408365621.625,21263728.933787283,4444
SFIN,2.4441259338505107e-05,16489029833.0875,20150632.71954196,4284
WUSH,3.325149734270492e-05,10517442410.453753,17486035.41816275,4291
ASTR,1.613230031159797e-05,21364736181.66252,17233117.008032136,4378
ALRS,6.263884846639032e-06,49207313263.08753,15411447.19462369,4423
QIWI,3.516353613980505e-05,8653352036.16875,15214122.852713775,3954
RTKMP,2.2275640809144537e-05,13185035063.328125,14685255.256333679,4297
SBCN,5.148130575981439e-05,5343652055.719086,13754909.267726747,2576
TRNFP,3.930438281490659e-06,68638597353.328125,13488988.531267215,4343
SIBN,4.809517712038798e-06,49103716301.76717,11808259.664013874,4418
TRMK,9.43791362395279e-06,24994020488.393764,11794570.324238334,4305
PRMD,8.308047724972493e-05,2833628900.1351347,11770962.068592006,2686
AKRN,8.854736566384559e-05,2641031526.9473686,11692819.217317656,2073
NMTP,1.6080647504630007e-05,11390930390.171875,9158676.817706574,4305
RUAL,8.870417764625622e-06,20416357705.734375,9055081.10409487,4376
LEAS,1.783995473756797e-05,9701900771.925,8654073.531975886,4383
RTKM,1.0472736545776966e-05,16365271177.862497,8569458.677297551,4400
SBRB,1.898284487229016e-05,8951336723.49747,8496091.82108933,2567
HNFG,5.023869403936294e-05,3228333452.147368,8109362.827973599,2831
BLNG,9.158942412426133e-05,1757908272.7567568,8050290.318253313,2604
ZAYM,5.7970022176479697e-05,2706366796.03125,7844407.159180993,3894
GMKN,2.6701014776779358e-06,57270511735.37501,7645903.900599819,4338
MOEX,3.7941187092370166e-06,39958035750.93127,7580276.551348494,4388
AKMM,3.486594903810535e-07,415046791071.4435,7235500.132963054,4728
SBBY,2.615136145176023e-05,5494493874.532471,7184424.765369059,2415
GEMC,7.941273768264726e-05,1759776055.118421,6987431.712266149,2794
FESH,7.675962907908048e-06,17913835751.04375,6875296.9381684465,4417
NKHP,7.962544002704416e-05,1694639093.5526316,6746819.175557977,2410
GECO,8.401457570541883e-05,1554307210.3216217,6529223.039552211,2595
PHOR,7.495894248042821e-06,17193730324.5,6444119.212090949,4340
PMSB,0.00017600876354546206,685376647.1081082,6031614.81102163,2037
MBNK,2.4929529627996666e-05,4722849843.026316,5886921.254515196,2836
PMSBP,0.00015347179984000846,744901707.0,5716070.283859231,1947
LIFE,6.987762801100653e-05,1621377865.2105262,5664901.966523051,2724
CNTL,0.00018183627058574603,596602213.1891892,5424196.073476217,1824
VSMO,3.144080291362027e-05,3257262560.625,5120547.510326236,2931
KAZT,0.00013223615863168522,761103326.918919,5032269.013677677,1718
SBRI,1.996757922651472e-05,4772448275.6281185,4764711.952402401,2063
APTK,2.2244042255087598e-05,4253285255.336757,4730512.847132593,2820
MGTSP,0.0001197094583873651,770419286.4736842,4611323.77574725,2019
DIAS,2.8862788833972355e-05,3166228942.1578946,4569309.867875748,2785
BSPBP,7.918986229014936e-05,1123091453.9189188,4446872.87875414,1943
MGKL,4.203779642703215e-05,2060571504.3078125,4331094.271071761,3911
ENPG,1.3590936405556594e-05,6334008929.367193,4304255.627562856,4247
VRSB,0.00019933910130761625,421063564.5833333,4196721.627871155,1701
PRFN,8.958836244114922e-05,927289396.136842,4153716.92544709,2585
